Station,Year,Month,Week,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Khatib,2015,9,38,20,6.2,6.2,6.2,6.2,28.4,34.4,25.3,3.7,24.5
Khatib,2015,9,39,21,33.8,16,17.6,18.2,27.3,32.9,24.5,3.5,37.1
Khatib,2015,9,39,22,3.4,2.6,2.6,2.8,27.5,31.7,24.8,4.3,27
Khatib,2015,9,39,23,0,0,0,0,27.9,32.1,24.9,4,23
Khatib,2015,9,39,24,0,0,0,0,27.9,32.2,24.7,3.6,20.2
Khatib,2015,9,39,25,0,0,0,0,28.2,32.3,24.8,5.4,23
Khatib,2015,9,39,26,0,0,0,0,28.7,32.5,24.6,5.1,26.3
Khatib,2015,9,39,27,0,0,0,0,28.6,32.6,25.2,3.9,23.4
Khatib,2015,9,40,28,23,16.2,19.6,21.2,27.1,31.9,23.5,3.4,30.6
Khatib,2015,9,40,29,0,0,0,0,27.8,31.7,24.6,3.6,19.1
Khatib,2015,9,40,30,19.2,12,12.2,12.2,27.4,32.7,23.2,3.6,32.4
Khatib,2015,10,40,1,4.8,4.6,4.6,4.6,28,33,24.9,4.1,24.8
Khatib,2015,10,40,2,17,6.4,8,8.8,27.4,32,23.6,4.3,24.1
Khatib,2015,10,40,3,0,0,0,0,28,31.4,24.7,4,18
Khatib,2015,10,40,4,0,0,0,0,28.4,32.4,24.6,4.3,23.4
Khatib,2015,10,41,5,0,0,0,0,27.6,31.1,25.7,3.1,22
Khatib,2015,10,41,6,9.8,9.6,9.6,9.8,27.5,32.9,24.5,3.5,33.5
Khatib,2015,10,41,7,7.6,5.4,6.4,7.6,27.6,33.1,24.1,3.5,24.5
Khatib,2015,10,41,8,14.6,14.4,14.6,14.6,26.9,33.8,24.5,3.5,31.3
Khatib,2015,10,41,9,0,0,0,0,28.4,33.3,23.9,4.2,20.2
Khatib,2015,10,41,10,0,0,0,0,28.6,32.8,24.5,4.8,23
Khatib,2015,10,41,11,0,0,0,0,29.6,34.2,26.6,5.3,19.4
Khatib,2015,10,42,12,0,0,0,0,28.9,33.9,24.8,4,28.1
Khatib,2015,10,42,13,4.5,4.5,4.5,4.5,28.2,33.9,25,4.5,28.4
Khatib,2015,10,42,14,0,0,0,0,28.6,32.8,24.9,4.6,27.4
Khatib,2015,10,42,15,0,0,0,0,29.2,33.9,25.3,4.6,21.2
Khatib,2015,10,42,16,0,0,0,0,28.7,32.6,25.2,4.3,18.4
Khatib,2015,10,42,17,0,0,0,0,28.9,33.2,25.5,4.7,20.5
Khatib,2015,10,42,18,0,0,0,0,29,32.5,25.6,4.3,20.5
Khatib,2015,10,43,19,0,0,0,0,29.2,33.4,25.6,4.9,22.7
Khatib,2015,10,43,20,0,0,0,0,28.7,33.5,25,4.6,22.3
Khatib,2015,10,43,21,0,0,0,0,28.6,33,24.5,5.4,25.2
Khatib,2015,10,43,22,0,0,0,0,29,33.2,25.3,4.4,21.2
Khatib,2015,10,43,23,0,0,0,0,29.6,33.6,26.7,5.1,20.5
Khatib,2015,10,43,24,7.5,4.5,4.5,4.5,28.3,32.7,24.4,4.5,32
Khatib,2015,10,43,25,1.5,1.5,1.5,1.5,28.1,31.7,25.2,3.8,19.8
Khatib,2015,10,44,26,0,0,0,0,29.1,33.9,26.3,4.4,19.1
Khatib,2015,10,44,27,0,0,0,0,28.5,32.9,25.3,4.2,24.5
Khatib,2015,10,44,28,12,3.5,6.5,9.5,26.8,31.6,22.5,4.8,33.8
Khatib,2015,10,44,29,0,0,0,0,28.6,33.7,23.9,5.4,24.5
Khatib,2015,10,44,30,40,40,40,40,27.3,32.6,23.7,3.5,26.3
Khatib,2015,10,44,31,0.5,0.5,0.5,0.5,27.2,31.7,24.6,3.8,16.6
Khatib,2015,11,44,1,3.5,3.5,3.5,3.5,27.1,33.9,24.2,3.5,31
Khatib,2015,11,45,2,32.5,27,31.5,32,26.6,32.9,23.4,3.8,31
Khatib,2015,11,45,3,6,6,6,6,27.5,34,23.8,4.2,21.2
Khatib,2015,11,45,4,0.5,0.5,0.5,0.5,27.4,32.2,24.4,3.4,16.6
Khatib,2015,11,45,5,0,0,0,0,28.4,33.1,24.6,3.4,18.7
Khatib,2015,11,45,6,1.5,1,1.5,1.5,28.2,33.2,25.8,3.3,17.3
Khatib,2015,11,45,7,20.5,12.5,12.5,14.5,26.9,33.2,23.9,4.3,29.9
Khatib,2015,11,45,8,9.5,9,9,9,26.6,30.9,24,2.7,22.7
Khatib,2015,11,46,9,13,12.5,13,13,27.5,31,24.2,3.8,23.4
Khatib,2015,11,46,10,0,0,0,0,28,34,25.1,4.1,23.4
Khatib,2015,11,46,11,36.5,24,36,36.5,26.3,33.3,24.1,3.2,27.4
Khatib,2015,11,46,12,0.5,0.5,0.5,0.5,27.3,33,24.6,3.8,24.5
Khatib,2015,11,46,13,14,6,7,7,26.7,32.1,24.7,3,19.8
Khatib,2015,11,46,14,0,0,0,0,28.6,34,24.1,5,24.5
Khatib,2015,11,46,15,6.6,6.2,6.2,6.4,27.2,31.3,25.2,3.3,27
Khatib,2015,11,47,16,53.6,35.4,47.8,52.2,25.7,31.2,23.7,3.9,29.9
Khatib,2015,11,47,17,14.6,8,10.4,13,26.9,31.6,23.3,3.6,20.2
Khatib,2015,11,47,18,0,0,0,0,28.5,33.2,24.7,5.2,26.3
Khatib,2015,11,47,19,0,0,0,0,28.3,33.6,25.5,3.7,31.7
Khatib,2015,11,47,20,0,0,0,0,27,33.4,24.6,3.7,28.1
Khatib,2015,11,47,21,18.6,13.4,14.2,16,26.6,32.1,24.4,3.2,31
Khatib,2015,11,47,22,0,0,0,0,27.4,31.8,24.1,3.2,18
Khatib,2015,11,48,23,0,0,0,0,28.4,34.2,24.8,3.5,19.4
Khatib,2015,11,48,24,31.8,19.6,21.6,28,26.3,30.6,24.6,2.9,22.3
Khatib,2015,11,48,25,1.2,0.8,0.8,0.8,26.8,32.2,23.9,3.6,23
Khatib,2015,11,48,26,9.8,4.6,5.6,5.6,26.6,31.1,24.4,4.5,23.8
Khatib,2015,11,48,27,0,0,0,0,27.4,31.8,24.2,4,18
Khatib,2015,11,48,28,0,0,0,0,28.2,33.6,24.6,4.2,25.2
Khatib,2015,11,48,29,0.8,0.4,0.6,0.6,28.5,33.8,25.1,4.5,22.3
Khatib,2015,11,49,30,31.4,19,20.2,20.2,26.9,32.8,24.4,3.5,33.1
Khatib,2015,12,49,1,11,8.6,9.8,10.4,26.2,32.5,23.9,3.7,30.2
Khatib,2015,12,49,2,2,1.2,1.8,1.8,26.5,32.1,24.1,3.2,24.8
Khatib,2015,12,49,3,0.4,0.4,0.4,0.4,28.3,33.4,24.4,4.6,20.5
Khatib,2015,12,49,4,31.4,28.4,31.4,31.4,27.7,33.1,24.6,3.6,28.8
Khatib,2015,12,49,5,65,36.4,46.4,63.4,26.9,34.2,24,3.8,23
Khatib,2015,12,49,6,6.2,5,5,6,27.1,33.4,24.3,3.7,28.8
Khatib,2015,12,50,7,0,0,0,0,28.7,33,24.7,5.8,26.3
Khatib,2015,12,50,8,19.4,7.8,9.6,9.6,27.6,33,24.7,3.5,25.2
Khatib,2015,12,50,9,4.4,3.2,3.2,4,27.8,33.3,24.3,4.5,20.9
Khatib,2015,12,50,10,19,14.2,16.2,16.4,27.4,34.5,24,4.3,26.3
Khatib,2015,12,50,11,4.2,3,3.4,4.2,26.8,31.3,24.9,2.9,25.6
Khatib,2015,12,50,12,5.8,1.8,2.8,3.2,26.7,32.9,24.3,3.3,19.8
Khatib,2015,12,50,13,9,1.8,3.4,5.6,25.7,28.5,24.2,4.2,15.8
Khatib,2015,12,51,14,1.4,0.4,0.6,1,26.9,32.9,23.6,3.5,23.4
Khatib,2015,12,51,15,0,0,0,0,27,29.9,24.1,3.3,15.8
Khatib,2015,12,51,16,0.8,0.8,0.8,0.8,27.4,31,24.9,5.2,34.6
Khatib,2015,12,51,17,0,0,0,0,27.6,30.5,25.3,5.4,32.8
Khatib,2015,12,51,18,5.2,3,3,3.4,27.4,31.7,25.3,5.3,34.2
Khatib,2015,12,51,19,0,0,0,0,28.5,33.4,24.5,5.9,25.9
Khatib,2015,12,51,20,0,0,0,0,28.5,33,24.9,5.5,25.2
Khatib,2015,12,52,21,0,0,0,0,28.6,33.3,25.3,5,22.3
Khatib,2015,12,52,22,0.4,0.4,0.4,0.4,28.7,34,25,3.4,22.7
Khatib,2015,12,52,23,6.2,4.4,4.6,4.6,28,33.2,22.9,4.1,29.5
Khatib,2015,12,52,24,52.4,20.6,31,51,26.3,29.6,23.6,3.3,16.6
Khatib,2015,12,52,25,1.4,1.4,1.4,1.4,27.6,33.6,23.8,5.6,29.9
Khatib,2015,12,52,26,0,0,0,0,28.5,33.3,24.9,6.6,33.8
Khatib,2015,12,52,27,0,0,0,0,28.5,33.1,24.2,5.8,27.4
Khatib,2015,12,53,28,0.8,0.8,0.8,0.8,28.3,33,25.5,5.8,28.8
Khatib,2015,12,53,29,20.4,3.4,5,5.8,26.1,29.3,24.6,5.4,33.5
Khatib,2015,12,53,30,0,0,0,0,28.3,32.8,25.5,7.3,34.6
Khatib,2015,12,53,31,1,0.4,0.6,0.6,27.1,31.1,25.2,6.3,28.8
Khatib,2016,1,1,1,5.2,2.6,3,3.2,27.1,29.8,24.8,4.7,25.2
Khatib,2016,1,1,2,26.4,11,13.2,13.4,25.8,28.5,23.2,4,31.3
Khatib,2016,1,1,3,1,0.4,0.6,0.6,25.8,27.7,24.7,4,20.9
Khatib,2016,1,1,4,0.6,0.6,0.6,0.6,27.7,32.9,24.2,5.4,28.8
Khatib,2016,1,1,5,0,0,0,0,29,33.4,26,6.5,27
Khatib,2016,1,1,6,0,0,0,0,28.9,33.2,26.2,6.5,28.1
Khatib,2016,1,1,7,0,0,0,0,28.8,33.2,26.1,7.2,27.4
Khatib,2016,1,1,8,0,0,0,0,28.8,33.5,25.2,6.5,30.6
Khatib,2016,1,1,9,0,0,0,0,29.1,33.4,26.2,7.2,33.1
Khatib,2016,1,1,10,0,0,0,0,29.1,33.8,26.3,6.5,27
Khatib,2016,1,2,11,12.6,11,11,12.2,28,33.5,25.7,4.7,29.9
Khatib,2016,1,2,12,0,0,0,0,29.2,33.3,26.5,6.8,26.6
Khatib,2016,1,2,13,0,0,0,0,29,33.2,26.4,6.5,25.2
Khatib,2016,1,2,14,3,1.6,1.6,1.6,28.7,33.4,26.4,5.4,23.8
Khatib,2016,1,2,15,15.6,10.4,14,14.8,27.5,32.7,24.7,3.6,22
Khatib,2016,1,2,16,0,0,0,0,27.4,33,24.9,3.2,19.8
Khatib,2016,1,2,17,22.6,12.2,16.8,20.4,26.6,31.8,24.2,3.6,27
Khatib,2016,1,3,18,1.8,1.4,1.4,1.4,27.7,34.3,24.6,3.6,16.2
Khatib,2016,1,3,19,0,0,0,0,28.6,33.1,26.2,5.4,31
Khatib,2016,1,3,20,0.6,0.6,0.6,0.6,28.2,32,25.5,4.7,32
Khatib,2016,1,3,21,0.4,0.2,0.2,0.2,28.2,32.4,26.4,5,24.1
Khatib,2016,1,3,22,4,2.4,2.8,3,28.2,33.4,25.1,4.7,31
Khatib,2016,1,3,23,1.4,1.4,1.4,1.4,28,33.6,26.2,5.8,29.5
Khatib,2016,1,3,24,0,0,0,0,29,33.4,26.3,7.6,37.1
Khatib,2016,1,4,25,6.6,6.2,6.2,6.2,27.8,32.4,25.8,7.2,48.6
Khatib,2016,1,4,26,1.2,0.8,0.8,0.8,27.7,30.2,25.5,5.8,27.4
Khatib,2016,1,4,27,0,0,0,0,28.6,32.9,25.3,6.1,28.4
Khatib,2016,1,4,28,13,6.2,8,10,28.2,33.9,24.9,5.4,27
Khatib,2016,1,4,29,2.8,1,1.4,2.4,27.9,32.2,24.7,5,31
Khatib,2016,1,4,30,0,0,0,0,28.9,33.7,26,5.4,24.5
Khatib,2016,1,4,31,0.4,0.4,0.4,0.4,28.8,33.4,26,6.1,32.4
Khatib,2016,2,5,1,0,0,0,0,29,33.6,25.8,6.8,32
Khatib,2016,2,5,2,4.2,1.8,2.2,3.8,27.8,32.2,24.8,6.1,32.8
Khatib,2016,2,5,3,0,0,0,0,28.4,33.6,24.4,5.8,27.7
Khatib,2016,2,5,4,0.2,0.2,0.2,0.2,28.1,31.4,26.4,5,20.9
Khatib,2016,2,5,5,18.8,9.2,14,17.2,27.6,31.8,25.5,3.6,20.2
Khatib,2016,2,5,6,5.8,4,4.4,4.4,28.5,32.6,26.1,7.2,33.1
Khatib,2016,2,5,7,27.4,13.2,20.6,21.8,26.8,28.8,24.2,7.9,33.1
Khatib,2016,2,6,8,0,0,0,0,27.4,29.7,26,7.2,31.3
Khatib,2016,2,6,9,0,0,0,0,27,29.5,25.5,5.4,23
Khatib,2016,2,6,10,6.8,2,3,4.8,26.4,28.9,24.6,5.8,26.6
Khatib,2016,2,6,11,0,0,0,0,27.6,30.9,25.3,5.8,19.1
Khatib,2016,2,6,12,16.6,13,16.2,16.2,27.7,33.8,22.2,5.4,29.5
Khatib,2016,2,6,13,0,0,0,0,28.6,33.1,25.8,6.8,28.1
Khatib,2016,2,6,14,7.2,4.4,4.8,4.8,27.7,33.1,25.3,4.7,22.7
Khatib,2016,2,7,15,0,0,0,0,28.9,34,25.6,6.5,28.1
Khatib,2016,2,7,16,0,0,0,0,28.6,33,26.3,8.3,37.1
Khatib,2016,2,7,17,0,0,0,0,28.1,32.4,25.4,7.2,31.7
Khatib,2016,2,7,18,0.4,0.4,0.4,0.4,27.6,32.9,23.7,5.8,27.4
Khatib,2016,2,7,19,91,19,34.8,42.2,24.9,28.1,23.7,4,23.4
Khatib,2016,2,7,20,0.2,0.2,0.2,0.2,26.5,29.8,24.2,4.7,26.3
Khatib,2016,2,7,21,0,0,0,0,27.5,32.9,23.7,6.5,35.6
Khatib,2016,2,8,22,0,0,0,0,28.2,32.9,25.1,6.5,27
Khatib,2016,2,8,23,0,0,0,0,28.3,32.5,25.3,6.5,33.8
Khatib,2016,2,8,24,5.6,2.6,2.6,3.2,26.2,30.3,24.3,5,29.2
Khatib,2016,2,8,25,0.2,0.2,0.2,0.2,28,32.3,25,8.3,41.8
Khatib,2016,2,8,26,0,0,0,0,28.3,32.7,25.3,7.6,31.7
Khatib,2016,2,8,27,0,0,0,0,28.5,33.3,24.9,6.8,28.8
Khatib,2016,2,8,28,0,0,0,0,28.5,32.9,26,7.9,34.9
Khatib,2016,2,9,29,0,0,0,0,28.7,33,26.3,7.9,38.2
Khatib,2016,3,9,1,0,0,0,0,28.7,33.4,25.8,7.6,32.4
Khatib,2016,3,9,2,0,0,0,0,28.4,33,25.9,7.9,37.1
Khatib,2016,3,9,3,0,0,0,0,28.6,32.9,25.9,7.9,32.8
Khatib,2016,3,9,4,0.4,0.4,0.4,0.4,28.5,32.2,25.9,7.2,30.2
Khatib,2016,3,9,5,0,0,0,0,28.9,33.9,26.3,6.8,31.7
Khatib,2016,3,9,6,0,0,0,0,29.4,34.5,26.8,7.9,30.2
Khatib,2016,3,10,7,6.2,5,5,6,28.4,32,26.6,6.5,27.7
Khatib,2016,3,10,8,13.4,6.4,6.8,7,27.5,31.9,25.6,4.7,24.8
Khatib,2016,3,10,9,0,0,0,0,29.4,34.5,26.3,6.5,25.6
Khatib,2016,3,10,10,13.6,5.4,6.4,9.6,28.3,34.8,26,4.7,21.6
Khatib,2016,3,10,11,0.2,0.2,0.2,0.2,29.4,34.9,26.4,6.1,30.2
Khatib,2016,3,10,12,0,0,0,0,29.2,33.9,25.8,6.8,28.8
Khatib,2016,3,10,13,7,5.4,6.8,6.8,28.6,34.5,24.9,5.8,28.1
Khatib,2016,3,11,14,0.6,0.4,0.6,0.6,29.2,33.9,26.6,5.4,26.6
Khatib,2016,3,11,15,0,0,0,0,29.1,33.9,26.3,6.5,29.9
Khatib,2016,3,11,16,0,0,0,0,28.7,34.6,24.8,5,20.5
Khatib,2016,3,11,17,0,0,0,0,29.1,34.8,25.5,6.5,28.4
Khatib,2016,3,11,18,0,0,0,0,28.8,33.9,25.5,5.8,24.1
Khatib,2016,3,11,19,0,0,0,0,28.9,33.2,25.7,6.5,24.5
Khatib,2016,3,11,20,3.4,3.2,3.2,3.4,29,32.7,26.5,5.4,19.8
Khatib,2016,3,12,21,44.2,35.8,44,44.2,28.5,34.6,24.8,4.7,27
Khatib,2016,3,12,22,0,0,0,0,28.3,32.9,26.1,3.6,25.6
Khatib,2016,3,12,23,0,0,0,0,28.9,34,25,5,25.2
Khatib,2016,3,12,24,0,0,0,0,29.5,34.3,26.6,6.8,28.8
Khatib,2016,3,12,25,25.8,19.2,25.6,25.8,28.2,34.2,23.4,4.3,24.5
Khatib,2016,3,12,26,0,0,0,0,28.7,33.2,25.2,6.5,28.4
Khatib,2016,3,12,27,0,0,0,0,29.3,33.7,26.8,6.8,33.1
Khatib,2016,3,13,28,0,0,0,0,29.5,33.9,26.5,7.9,33.1
Khatib,2016,3,13,29,0,0,0,0,29.3,34.1,26.5,6.8,31.3
Khatib,2016,3,13,30,0,0,0,0,29.4,34.1,26.2,6.8,27.4
Khatib,2016,3,13,31,0,0,0,0,29.3,33.7,26.9,6.8,26.6
Khatib,2016,4,13,1,0,0,0,0,29.6,34.7,26.6,6.8,27.7
Khatib,2016,4,13,2,0,0,0,0,29.8,35.4,26.1,6.5,30.2
Khatib,2016,4,13,3,25.6,12.4,13.6,25.4,28.4,34.1,24.3,5,35.3
Khatib,2016,4,14,4,0,0,0,0,29.3,34.3,25.7,5.4,26.6
Khatib,2016,4,14,5,0,0,0,0,29.1,34.1,27.2,5.4,24.1
Khatib,2016,4,14,6,0,0,0,0,29.4,34,25.7,5.8,24.1
Khatib,2016,4,14,7,0,0,0,0,29.4,35.7,25.1,5,22.7
Khatib,2016,4,14,8,0,0,0,0,29.8,35.5,26.2,5,21.6
Khatib,2016,4,14,9,28.8,19.6,21,27.8,27.7,34.9,24.8,4,28.8
Khatib,2016,4,14,10,0,0,0,0,29.1,35.6,24.7,5,22.7
Khatib,2016,4,15,11,0,0,0,0,29.8,33.9,26.9,4,21.6
Khatib,2016,4,15,12,4,4,4,4,29.4,34.7,26.3,3.6,25.6
Khatib,2016,4,15,13,0,0,0,0,29.6,35.3,26.2,4.3,36.7
Khatib,2016,4,15,14,0.2,0.2,0.2,0.2,29.4,34.4,26.6,3.6,23
Khatib,2016,4,15,15,4.4,2.6,2.8,2.8,28.2,31.6,25.4,3.2,22.3
Khatib,2016,4,15,16,5.8,5.2,5.8,5.8,28.5,35.3,25.7,3.6,22.7
Khatib,2016,4,15,17,0.2,0.2,0.2,0.2,29.6,35.3,25.6,5,23.8
Khatib,2016,4,16,18,0,0,0,0,30,35.6,25.6,4.3,22
Khatib,2016,4,16,19,0,0,0,0,30.9,35.4,27.9,6.1,26.6
Khatib,2016,4,16,20,0,0,0,0,29.4,34.7,26.6,4.7,27.7
Khatib,2016,4,16,21,0,0,0,0,30.5,35.4,27.2,6.1,24.5
Khatib,2016,4,16,22,14.2,7.2,9.8,14,28.9,35,25.4,4.3,32
Khatib,2016,4,16,23,39.6,26,28.6,28.6,27.7,32.3,25.4,4,24.1
Khatib,2016,4,16,24,0.6,0.4,0.6,0.6,28.6,33.1,26.3,3.6,20.2
Khatib,2016,4,17,25,30.4,21.2,29,29.8,27.7,33.3,23.7,3.2,25.6
Khatib,2016,4,17,26,1.2,1,1,1,28.2,33.3,25.3,2.9,16.6
Khatib,2016,4,17,27,37.2,30.2,37,37.2,27.7,34.4,24.2,3.2,28.8
Khatib,2016,4,17,28,26.8,21.2,22.2,22.2,27.3,33.3,25.1,3.2,23.8
Khatib,2016,4,17,29,5,2.6,4.4,4.8,27.5,34.7,25.1,3.2,26.3
Khatib,2016,4,17,30,17.2,15.6,17.2,17.2,27.4,34.2,24.6,3.6,33.1
Khatib,2016,5,17,1,0,0,0,0,29.1,34.2,24.9,4.3,18.4
Khatib,2016,5,18,2,8,8,8,8,27.8,33.7,25.2,3.2,34.6
Khatib,2016,5,18,3,0.2,0.2,0.2,0.2,29.4,34.9,25.2,4.7,23
Khatib,2016,5,18,4,0,0,0,0,30.4,35.1,26.2,5,27.4
Khatib,2016,5,18,5,11.2,11,11,11,28.5,34.8,25.5,3.2,35.6
Khatib,2016,5,18,6,0,0,0,0,28.7,34.5,26.4,3.6,25.9
Khatib,2016,5,18,7,0.2,0.2,0.2,0.2,28.5,35,25.7,3.2,24.5
Khatib,2016,5,18,8,2.4,2.4,2.4,2.4,28.9,33.3,25.6,4,21.2
Khatib,2016,5,19,9,0,0,0,0,29.2,33.9,25.8,4.3,36.4
Khatib,2016,5,19,10,0,0,0,0,30,35.5,26.3,4.3,22.7
Khatib,2016,5,19,11,81.2,50.4,66.4,79.8,28.4,35.4,24.5,3.2,40.3
Khatib,2016,5,19,12,1.6,1.6,1.6,1.6,28.3,33.5,25.6,3.2,20.9
Khatib,2016,5,19,13,4.4,3.6,4.4,4.4,28,31.9,24.9,2.9,24.8
Khatib,2016,5,19,14,20,14.6,18.6,20,27.2,33.6,24.8,3.2,24.8
Khatib,2016,5,19,15,12,5.6,5.8,10,27.6,34.2,25.3,2.9,20.9
Khatib,2016,5,20,16,14.4,11.8,13.8,14.4,27.7,33.7,24.6,3.2,37.8
Khatib,2016,5,20,17,10.6,10.2,10.4,10.4,28.1,34.1,25.8,2.9,25.2
Khatib,2016,5,20,18,12.4,10.2,10.8,11.4,27.2,33.4,25.6,3.2,22.7
Khatib,2016,5,20,19,5.2,5,5,5,28.3,33.3,25.5,3.6,27.7
Khatib,2016,5,20,20,0,0,0,0,29.4,34.6,26.1,3.2,16.2
Khatib,2016,5,20,21,0.4,0.4,0.4,0.4,28.3,31.4,24.9,4,25.9
Khatib,2016,5,20,22,33.2,17.8,26.8,30.6,28.3,33.9,24.7,4.3,30.2
Khatib,2016,5,21,23,0.8,0.6,0.8,0.8,29,34.6,25,4,23
Khatib,2016,5,21,24,0.8,0.6,0.6,0.6,29.1,33.4,26.7,4.3,26.6
Khatib,2016,5,21,25,4.6,4,4,4.6,29.4,34.8,26,3.6,23.8
Khatib,2016,5,21,26,0.2,0.2,0.2,0.2,28.2,32.8,25.5,5,23
Khatib,2016,5,21,27,0,0,0,0,29.2,33,26.1,5,23.4
Khatib,2016,5,21,28,32.2,12.8,16.4,24.4,28,32.2,23.7,3.2,29.5
Khatib,2016,5,21,29,0,0,0,0,29.5,34.8,25.8,3.6,16.2
Khatib,2016,5,22,30,1,0.8,0.8,0.8,28,33,25.4,4.3,32.8
Khatib,2016,5,22,31,0,0,0,0,28.8,34,24.9,3.6,20.9
Khatib,2016,6,22,1,2.4,1.4,1.4,1.4,27.1,30.9,25.1,3.6,27.7
Khatib,2016,6,22,2,44.6,35,43.2,44.6,26.6,33.6,23.5,2.9,33.1
Khatib,2016,6,22,3,4.4,4.2,4.2,4.2,26.9,33.4,24.5,2.9,20.9
Khatib,2016,6,22,4,0.8,0.2,0.4,0.6,26.1,27.7,24.5,2.5,19.1
Khatib,2016,6,22,5,0.2,0.2,0.2,0.2,28.1,32.8,25,3.2,14.4
Khatib,2016,6,23,6,0,0,0,0,28.7,33.5,25.7,4,23
Khatib,2016,6,23,7,0,0,0,0,28.9,33.8,25.8,4.3,23.8
Khatib,2016,6,23,8,55.6,31.8,51.4,53.2,26.6,31.3,22.4,3.2,34.2
Khatib,2016,6,23,9,4.2,4.2,4.2,4.2,27.9,33.4,25.1,2.9,23.8
Khatib,2016,6,23,10,2.4,2.4,2.4,2.4,27.9,32.2,24.9,4,18.4
Khatib,2016,6,23,11,8,3.2,4.4,5.6,27.1,31.9,25.4,3.2,25.6
Khatib,2016,6,23,12,0.2,0.2,0.2,0.2,28.1,33.4,25,4,27
Khatib,2016,6,24,13,0.2,0.2,0.2,0.2,28.1,33.9,24.8,3.2,19.4
Khatib,2016,6,24,14,0.8,0.6,0.6,0.6,27.6,32,25.4,2.9,19.8
Khatib,2016,6,24,15,56.2,25.6,46.2,56,27,31.2,24.1,3.6,28.8
Khatib,2016,6,24,16,3.4,2.2,2.2,2.2,27,31.5,24.7,3.2,27.4
Khatib,2016,6,24,17,41.2,28,36.2,36.6,25.5,30,24,4.3,32
Khatib,2016,6,24,18,0.2,0.2,0.2,0.2,26.8,31,24,2.5,13.3
Khatib,2016,6,24,19,0,0,0,0,27.2,30.2,24.7,2.5,11.9
Khatib,2016,6,25,20,0,0,0,0,28.1,32.5,24.7,4,27.4
Khatib,2016,6,25,21,0,0,0,0,27.9,32.7,25.4,2.5,18.7
Khatib,2016,6,25,22,3,1.4,1.4,1.6,26.4,31.9,23.8,3.6,22.7
Khatib,2016,6,25,23,0,0,0,0,28.4,32.8,25.1,4.3,22.7
Khatib,2016,6,25,24,32.6,11.4,19,26.6,26.4,30.3,22.8,3.2,37.1
Khatib,2016,6,25,25,0,0,0,0,28.6,33.3,25.3,5,23.8
Khatib,2016,6,25,26,0.6,0.4,0.4,0.6,28,31.5,25.1,4,24.5
Khatib,2016,6,26,27,0,0,0,0,28.4,31.5,26.4,4.7,21.6
Khatib,2016,6,26,28,0,0,0,0,29.6,34.5,25.7,4.3,22
Khatib,2016,6,26,29,0,0,0,0,29.7,34.9,26,3.2,23
Khatib,2016,6,26,30,0,0,0,0,30.1,33.8,26.9,5,21.6
Khatib,2016,7,26,1,0,0,0,0,30,33.9,26.6,5.4,18.7
Khatib,2016,7,26,2,0,0,0,0,30.1,34.2,27.1,4.7,20.9
Khatib,2016,7,26,3,0,0,0,0,30.4,34.5,27.4,5.4,21.2
Khatib,2016,7,27,4,0,0,0,0,30.4,34.7,27.3,5,19.1
Khatib,2016,7,27,5,0,0,0,0,30.1,34.1,26.4,5.4,23.4
Khatib,2016,7,27,6,0.4,0.4,0.4,0.4,29,33.2,25.4,4.7,24.8
Khatib,2016,7,27,7,0,0,0,0,29.1,32.8,25.4,5.8,27
Khatib,2016,7,27,8,5.4,2.6,3.4,4.2,27.4,31.1,23.8,3.6,30.2
Khatib,2016,7,27,9,0,0,0,0,29.1,33.9,24.7,5.4,25.6
Khatib,2016,7,27,10,0,0,0,0,28.9,33.5,25.2,4.3,24.8
Khatib,2016,7,28,11,3.2,2,2.8,3,27.3,31,25.1,4.3,31
Khatib,2016,7,28,12,0,0,0,0,29.5,34.3,25.2,4.3,19.4
Khatib,2016,7,28,13,8.8,4.6,7.6,8.8,27.2,31,24.5,3.2,39.2
Khatib,2016,7,28,14,8,3.6,6,7.4,26.2,30.5,24.1,3.2,28.8
Khatib,2016,7,28,15,42,26.8,40.6,41.4,26.2,32.2,23.7,3.2,39.2
Khatib,2016,7,28,16,0,0,0,0,28,33.3,24.3,3.6,19.8
Khatib,2016,7,28,17,0.8,0.8,0.8,0.8,27.2,33.8,24.9,3.2,28.1
Khatib,2016,7,29,18,1.6,1,1,1,26.8,32.4,24.2,2.9,19.8
Khatib,2016,7,29,19,24,18.2,21.6,22.8,27.4,33.2,23.1,5.4,40
Khatib,2016,7,29,20,13.4,5.8,9.4,10.8,26.8,30.2,23.1,3.6,35.6
Khatib,2016,7,29,21,5.2,1.6,2.6,3.8,27.3,31.7,24.3,4,23.8
Khatib,2016,7,29,22,4,1.2,1.8,1.8,25.7,28.8,24.2,3.2,21.2
Khatib,2016,7,29,23,0.6,0.2,0.2,0.2,26.8,32.2,23.9,3.6,23
Khatib,2016,7,29,24,7.4,4.4,4.8,5.4,26.1,31.3,24.5,2.9,16.9
Khatib,2016,7,30,25,0.6,0.2,0.2,0.4,26.7,29.6,24.3,2.9,19.1
